LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
201,3614,100000,Primary,24,18,30,19.1,13.4,15.9,15.0,"£45,421"
202,2000,136807,Primary,6,6,2,5.2,3.8,1.4,18.7,"£37,371"
202,2001,139837,Primary,9,8,2,8.7,7.2,2,16.5,"£43,589"
202,2002,140686,Primary,12,21,3,11.6,17.4,2.6,22.3,"£43,096"
202,2019,100008,Primary,20,9,7,18.3,8.2,6.1,19.1,"£47,681"
202,2036,100009,Primary,25,15,3,24.4,12.7,3,16.7,"£47,719"
202,2065,100010,Primary,24,21,9,21.2,18.1,8,18.5,"£43,671"
202,2078,100011,Primary,25,16,11,21.7,14.2,6.6,19.4,"£43,629"
202,2095,100012,Primary,18,28,6,16.6,19,5.3,17.2,"£46,138"
202,2184,100013,Primary,16,10,4,15.3,9.1,3.4,12.9,"£42,248"
202,2219,100014,Primary,15,15,3,13.2,12.7,3,17.3,"£45,758"
202,2290,100015,Primary,12,12,7,11,7.6,4.4,17.1,"£44,079"
202,2436,100018,Primary,30,32,16,29.6,29.6,13.9,13.7,"£45,015"
202,2438,100019,Primary,22,19,6,19.8,12.4,6,18.8,"£46,995"
202,2475,100020,Primary,25,39,12,21.8,30.9,11.3,21.1,"£54,873"
202,2502,100021,Primary,24,28,11,22.4,21.8,8.5,17.7,"£48,455"
202,2507,100022,Primary,27,17,9,26.1,14.2,8.9,15.9,"£46,831"
202,2603,100023,Primary,25,32,9,23.6,27.6,8.5,18.7,"£59,234"
202,2775,100025,Primary,23,34,15,21.1,25.2,10.7,21.6,"£50,951"
202,2797,100026,Primary,12,13,3,10.4,10.2,2.1,21.8,"£48,427"
202,2841,100027,Primary,15,17,5,11.8,12.9,3.7,20.0,"£47,726"
202,2842,130342,Primary,14,17,6,11.3,12.3,4.3,19.5,"£45,746"
202,2843,132245,Primary,36,25,8,35.3,23.6,8,19.2,"£43,929"
202,3323,100028,Primary,12,8,3,10.5,6.3,2.4,18.6,"£42,982"
202,3327,100029,Primary,12,16,3,11.4,15.5,2.3,19.6,"£42,012"
202,3340,100030,Primary,14,14,4,12.7,13.8,3.6,20.8,"£42,893"
202,3352,100031,Primary,12,9,6,12,5.9,4.4,19.1,"£40,240"
202,3359,100032,Primary,11,28,2,10.3,17.5,2,17.1,"£43,526"
202,3361,100033,Primary,14,9,2,11.9,7.5,2,17.7,"£43,436"
202,3370,100034,Primary,17,31,3,14.3,20.6,2.9,16.6,"£44,817"
202,3391,100035,Primary,19,15,4,16.4,9.4,3.1,19.7,"£46,023"
202,3398,100036,Primary,11,19,3,11,15.2,2.9,17.7,"£47,513"
202,3400,100037,Primary,16,8,5,15.2,8,5,17.1,"£43,010"
202,3429,100039,Primary,14,6,4,13.5,5.1,3.9,16.4,"£44,410"
202,3441,100040,Primary,13,9,3,13,9,2.8,16.3,"£41,897"
